DEN;25;MF;Jesper Lindstrøm;29/02/2000
DEN;26;DF;Alexander Bah;09/12/1997
FRA;1;GK;Hugo Lloris;26/12/1986
FRA;2;DF;Benjamin Pavard;28/03/1996
FRA;3;DF;Axel Disasi;11/03/1998
FRA;4;DF;Raphaël Varane;25/04/1993
FRA;5;DF;Jules Koundé;12/11/1998
FRA;6;MF;Matteo Guendouzi;14/04/1999
FRA;7;FW;Antoine Griezmann;21/03/1991
FRA;8;MF;Aurélien Tchouaméni;27/01/2000
FRA;9;FW;Olivier Giroud;30/09/1986
FRA;10;FW;Kylian Mbappé;20/12/1998
FRA;11;FW;Ousmane Dembélé;15/05/1997
FRA;12;FW;Randal Kolo Muani;05/12/1998
FRA;13;MF;Youssouf Fofana;10/01/1999
FRA;14;MF;Adrien Rabiot;03/04/1995
FRA;15;MF;Jordan Veretout;01/03/1993
FRA;16;GK;Steve Mandanda;28/03/1985
FRA;17;DF;William Saliba;24/03/2001
FRA;18;DF;Dayot Upamecano;27/12/1998
FRA;19;FW;Karim Benzema;19/12/1987
FRA;20;FW;Kingsley Coman;13/06/1996
FRA;21;DF;Lucas Hernandez;14/02/1996
FRA;22;DF;Théo Hernandez;06/12/1997
FRA;23;GK;Alphonse Areola;27/02/1993
FRA;24;DF;Ibrahima Konaté;25/05/1999
FRA;25;MF;Eduardo Camavinga;10/11/2002
FRA;26;FW;Marcus Thuram;06/08/1997
TUN;1;GK;Aymen Mathlouthi;14/09/1984
TUN;2;DF;Bilel Ifa;09/03/1990
TUN;3;DF;Montassar Talbi;26/05/1998
TUN;4;DF;Yassine Meriah;02/07/1993
TUN;5;MF;Nader Ghandri;18/02/1995
TUN;6;DF;Dylan Bronn;19/06/1995
TUN;7;FW;Youssef Msakni;28/12/1990
TUN;8;MF;Hannibal Mejbri;21/01/2003
TUN;9;FW;Issam Jebali;25/12/1991
TUN;10;FW;Wahbi Khazri;08/02/1991
TUN;11;FW;Taha Yassine Khenissi;06/01/1992
TUN;12;DF;Ali Maâloul;01/01/1990
TUN;13;MF;Ferjani Sassi;18/03/1992
TUN;14;MF;Aïssa Laïdouni;13/12/1996
TUN;15;MF;Mohamed Ali Ben Romdhane;06/09/1999
TUN;16;GK;Aymen Dahmen;28/01/1997
TUN;17;MF;Ellyes Skhiri;10/05/1995
TUN;18;MF;Ghailene Chaalali;28/02/1994
TUN;19;FW;Seifeddine Jaziri;12/02/1993
TUN;20;DF;Mohamed Dräger;25/06/1996
TUN;21;DF;Wajdi Kechrida;05/11/1995
TUN;22;GK;Bechir Ben Saïd;29/11/1992
TUN;23;FW;Naïm Sliti;27/07/1992
TUN;24;DF;Ali Abdi;20/12/1993
